Subject,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
Maths,"[Matrices] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 101: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 102: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 103: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Medium
Maths,"[Mensuration] Board-level MCQ 104: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Hard
Maths,"[Geometry] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Statistics] Board-level MCQ 106: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Medium
Maths,"[Probability] Board-level MCQ 107: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Hard
Maths,"[GST & Banking] Board-level MCQ 108: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 109: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Medium
Maths,"[Arithmetic Progression] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 111: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Easy
Maths,"[Matrices] Board-level MCQ 112: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 113: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 114: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Easy
Maths,"[Heights & Distances] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Mensuration] Board-level MCQ 116: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Hard
Maths,"[Geometry] Board-level MCQ 117: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Easy
Maths,"[Statistics] Board-level MCQ 118: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Medium
Maths,"[Probability] Board-level MCQ 119: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Hard
Maths,"[GST & Banking] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 121: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 122: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 123: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Easy
Maths,"[Matrices] Board-level MCQ 124: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Medium
Maths,"[Coordinate Geometry] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 126: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 127: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Medium
Maths,"[Mensuration] Board-level MCQ 128: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Hard
Maths,"[Geometry] Board-level MCQ 129: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Easy
Maths,"[Statistics] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Probability] Board-level MCQ 131: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Hard
Maths,"[GST & Banking] Board-level MCQ 132: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 133: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 134: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Hard
Maths,"[Geometric Progression] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Matrices] Board-level MCQ 136: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 137: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 138: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 139: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Medium
Maths,"[Mensuration] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[Geometry] Board-level MCQ 141: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Easy
Maths,"[Statistics] Board-level MCQ 142: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Medium
Maths,"[Probability] Board-level MCQ 143: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Hard
Maths,"[GST & Banking] Board-level MCQ 144: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Easy
Maths,"[Quadratic Equations] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 146: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 147: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Easy
Maths,"[Matrices] Board-level MCQ 148: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 149: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Hard
Maths,"[Trigonometric Identities] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 151: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Medium
Maths,"[Mensuration] Board-level MCQ 152: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Hard
Maths,"[Geometry] Board-level MCQ 153: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Easy
Maths,"[Statistics] Board-level MCQ 154: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Medium
Maths,"[Probability] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[GST & Banking] Board-level MCQ 156: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 157: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 158: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 159: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Easy
Maths,"[Matrices] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 161: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 162: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 163: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Medium
Maths,"[Mensuration] Board-level MCQ 164: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Hard
Maths,"[Geometry] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Statistics] Board-level MCQ 166: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Medium
Maths,"[Probability] Board-level MCQ 167: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Hard
Maths,"[GST & Banking] Board-level MCQ 168: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 169: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Medium
Maths,"[Arithmetic Progression] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 171: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Easy
Maths,"[Matrices] Board-level MCQ 172: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 173: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 174: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Easy
Maths,"[Heights & Distances] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Mensuration] Board-level MCQ 176: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Hard
Maths,"[Geometry] Board-level MCQ 177: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Easy
Maths,"[Statistics] Board-level MCQ 178: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Medium
Maths,"[Probability] Board-level MCQ 179: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Hard
Maths,"[GST & Banking] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 181: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 182: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 183: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Easy
Maths,"[Matrices] Board-level MCQ 184: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Medium
Maths,"[Coordinate Geometry] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 186: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 187: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Medium
Maths,"[Mensuration] Board-level MCQ 188: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Hard
Maths,"[Geometry] Board-level MCQ 189: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Easy
Maths,"[Statistics] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Probability] Board-level MCQ 191: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Hard
Maths,"[GST & Banking] Board-level MCQ 192: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 193: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 194: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Hard
Maths,"[Geometric Progression] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Matrices] Board-level MCQ 196: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 197: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 198: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 199: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Medium
Maths,"[Mensuration] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[Geometry] Board-level MCQ 201: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Easy
Maths,"[Statistics] Board-level MCQ 202: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Medium
Maths,"[Probability] Board-level MCQ 203: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Hard
Maths,"[GST & Banking] Board-level MCQ 204: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Easy
Maths,"[Quadratic Equations] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 206: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 207: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Easy
Maths,"[Matrices] Board-level MCQ 208: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 209: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Hard
Maths,"[Trigonometric Identities] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 211: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Medium
Maths,"[Mensuration] Board-level MCQ 212: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Hard
Maths,"[Geometry] Board-level MCQ 213: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Easy
Maths,"[Statistics] Board-level MCQ 214: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Medium
Maths,"[Probability] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[GST & Banking] Board-level MCQ 216: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 217: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 218: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 219: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Easy
Maths,"[Matrices] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 221: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 222: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 223: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Medium
Maths,"[Mensuration] Board-level MCQ 224: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Hard
Maths,"[Geometry] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Statistics] Board-level MCQ 226: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Medium
Maths,"[Probability] Board-level MCQ 227: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Hard
Maths,"[GST & Banking] Board-level MCQ 228: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 229: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Medium
Maths,"[Arithmetic Progression] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 231: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Easy
Maths,"[Matrices] Board-level MCQ 232: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 233: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 234: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Easy
Maths,"[Heights & Distances] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Mensuration] Board-level MCQ 236: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Hard
Maths,"[Geometry] Board-level MCQ 237: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Easy
Maths,"[Statistics] Board-level MCQ 238: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Medium
Maths,"[Probability] Board-level MCQ 239: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Hard
Maths,"[GST & Banking] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 241: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 242: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 243: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Easy
Maths,"[Matrices] Board-level MCQ 244: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Medium
Maths,"[Coordinate Geometry] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 246: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 247: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Medium
Maths,"[Mensuration] Board-level MCQ 248: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Hard
Maths,"[Geometry] Board-level MCQ 249: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Easy
Maths,"[Statistics] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Probability] Board-level MCQ 251: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Hard
Maths,"[GST & Banking] Board-level MCQ 252: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 253: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 254: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Hard
Maths,"[Geometric Progression] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Matrices] Board-level MCQ 256: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 257: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 258: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 259: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Medium
Maths,"[Mensuration] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[Geometry] Board-level MCQ 261: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Easy
Maths,"[Statistics] Board-level MCQ 262: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Medium
Maths,"[Probability] Board-level MCQ 263: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Hard
Maths,"[GST & Banking] Board-level MCQ 264: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Easy
Maths,"[Quadratic Equations] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 266: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 267: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Easy
Maths,"[Matrices] Board-level MCQ 268: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 269: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Hard
Maths,"[Trigonometric Identities] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 271: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Medium
Maths,"[Mensuration] Board-level MCQ 272: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Hard
Maths,"[Geometry] Board-level MCQ 273: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Easy
Maths,"[Statistics] Board-level MCQ 274: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Medium
Maths,"[Probability] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
Maths,"[GST & Banking] Board-level MCQ 276: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 277: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Medium
Maths,"[Arithmetic Progression] Board-level MCQ 278: If x = 7, find the value of 2x² − 3x.",77,79,74,82,A,Hard
Maths,"[Geometric Progression] Board-level MCQ 279: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Easy
Maths,"[Matrices] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Medium
Maths,"[Coordinate Geometry] Board-level MCQ 281: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Hard
Maths,"[Trigonometric Identities] Board-level MCQ 282: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Easy
Maths,"[Heights & Distances] Board-level MCQ 283: If x = 5, find the value of 2x² − 3x.",35,37,32,40,A,Medium
Maths,"[Mensuration] Board-level MCQ 284: If x = 6, find the value of 2x² − 3x.",54,56,51,59,A,Hard
Maths,"[Geometry] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Easy
Maths,"[Statistics] Board-level MCQ 286: If x = 8, find the value of 2x² − 3x.",104,106,101,109,A,Medium
Maths,"[Probability] Board-level MCQ 287: If x = 2, find the value of 2x² − 3x.",2,4,-1,7,A,Hard
Maths,"[GST & Banking] Board-level MCQ 288: If x = 3, find the value of 2x² − 3x.",9,11,6,14,A,Easy
Maths,"[Quadratic Equations] Board-level MCQ 289: If x = 4, find the value of 2x² − 3x.",20,22,17,25,A,Medium
Maths,"[Arithmetic Progression] Assertion (A): The discriminant of a quadratic equation determines the nature of roots. Reason (R): If the discriminant is negative, the roots are imaginary.",Both A and R are true and R is the correct explanation of A,Both A and R are true but R is not the correct explanation of A,A is true but R is false,A is false but R is true,A,Hard
